safe,release_speed,plate_x,plate_z,pop_time,exchange_time,arm_strength,lead,sprint_speed,swing,delta_run_exp
1,79,0.67,1.67,2.085647059,0.7980625,78.269352941,11.585090909,27.3,0,-0.087
0,92.3,-1.29,4.13,1.958823529,0.7546875,83.1018,11.585090909,28.8,1,-0.062
1,93.8,-1.31,2.88,2.085647059,0.7980625,78.269352941,11.585090909,29.1,0,0.048
1,82.5,0.65,0.51,1.9502,0.64948,78.181,11.585090909,27.3,0,0.075
1,92.9,-1.67,2.61,2.085647059,0.7980625,78.269352941,11.585090909,28.8,0,0.031
1,92.3,1.11,2.14,1.9502,0.64948,78.181,11.585090909,27.9,0,0.031
1,84.8,0.52,1.26,1.9502,0.64948,78.181,11.585090909,28.4,0,0.071
1,92.3,0.9,2.6,2.085647059,0.7980625,78.269352941,11.585090909,28.4,0,0.024
1,77,-1.62,2.5,2.085647059,0.7980625,78.269352941,11.585090909,27.5,0,0.029
1,75.9,0.67,0.8,1.9502,0.64948,78.181,11.585090909,28.3,0,0.094
1,87,0.81,0.75,2.085647059,0.7980625,78.269352941,11.585090909,27.9,1,-0.367
1,92.5,-0.76,5.1,2.010842105,0.744815789,80.030210526,10.978130435,25.3,0,0.017
1,87.9,0.59,1.84,2.180928571,0.895571429,78.048785714,10.978130435,27.1,1,-0.078
1,93.2,0.6,2.7,2.180928571,0.895571429,78.048785714,10.978130435,29,1,-0.047
0,92.4,0.33,4.25,2.010842105,0.744815789,80.030210526,10.978130435,26.2,0,0.039
1,91.6,-1.43,3.27,2.180928571,0.895571429,78.048785714,10.978130435,28.3,0,0.062
1,86.5,1.39,-0.33,2.180928571,0.895571429,78.048785714,10.978130435,27.9,0,0.017
1,83.4,-0.28,1.16,2.180928571,0.895571429,78.048785714,10.978130435,26.3,1,-0.212
1,92.3,0.9,2.43,2.180928571,0.895571429,78.048785714,10.978130435,29.3,0,0.036
0,89.1,-1.75,2.66,2.180928571,0.895571429,78.048785714,10.978130435,29.1,0,0.117
0,90,-0.31,1.24,2.180928571,0.895571429,78.048785714,10.978130435,29.6,0,0.084
