PitchId,game_pk,p_throws,description,pitch_name,batter,pitcher,stand,inning,inning_topbot,balls,strikes,outs_when_up,pitch_number,at_bat_number,away_team,home_team,sz_top,sz_bot,release_extension,release_angle,spin_axis,release_pos_x,release_pos_y,release_pos_z,release_speed,release_direction,release_spin_rate,pfx_x,pfx_z,zone_speed,vert_appr_angle,effective_speed,horz_appr_angle,plate_x,plate_z,zone_time,vx0,vy0,vz0,ax,ay,az,speed_drop,x_tunnel,z_tunnel,vyR,spin_eff,events,Swing,Strike,InZone,Chase,Whiff,InZoneWhiff,Bauer,pitcher_team,batter_team,IP,PA,HR,BB,K,babip_value,AB,slugging
596,1,L,ball,CH,35,4,R,7,Bot,3,2,1,6,56,1,2,3.24000001,1.559999943,5.794250965,-2.955745459,111.8528595,31.699908252,54.70574951,68.80434036,86.30081231,4.203193665,1730.352051,-13.639304639999999,3.213916896,79.68585205,-9.282645226,84.90813446,1.638977647,-0.138186082,0.144955248,0.439351618,-8.719764709,-123.9786911,-7.393740177,13.34844685,21.38387489,-28.21563148,6.614960260000004,1.813319548534424,1.0003560667795204,-124.78770029183796,0.5744576755570663,walk,0,0,0,0,NA,NA,20.050240602422438,1,2,0,1,0,1,0,NA,NA,NA
258,1,L,called_strike,FF,20,4,L,7,Bot,0,0,1,1,57,1,2,3.359999895,1.600000024,6.10255146,-1.494912863,132.9758759,32.030330652,54.39744949,68.555162424,94.5317006,3.670465469,2024.302124,-6.152277948,9.515585664,86.68741608,-5.544836998,93.29065704,2.518309355,-0.21692577,2.522284985,0.402094632,-8.471568108,-135.0763245,-4.213776588,7.834925175,23.28476906,-21.72141647,7.844284519999988,1.4063318840918404,2.922783268984512,-135.832251648287,0.37440095258183553,NA,0,1,1,NA,NA,NA,21.414003039737974,1,2,NA,NA,NA,NA,NA,NA,NA,NA
250,1,L,hit_into_play,FF,20,4,L,7,Bot,0,1,1,2,57,1,2,3.49000001,1.600000024,5.87265873,-1.643719673,132.7964325,29.320524216000003,54.62734222,69.210216528,92.04568526,3.629199505,2030.225586,-10.269547464,6.681535716000001,86.86038971,-6.199345589,93.11244202,1.70279789,-0.075981185,2.208227873,0.401186883,-8.269640923,-135.4821777,-4.662826538,12.15388775,23.97223091,-24.52854347,5.185295549999992,1.5836620995154969,2.6249517355141254,-136.2984807735655,0.43205103999591943,force_out,1,1,1,NA,0,0,22.05671651273228,1,2,0.3333333333333333,1,0,0,0,0,1,0
383,1,L,ball,CH,33,4,R,7,Bot,0,0,2,1,58,1,2,3.4000000950000002,1.529999971,5.644583225,0.150928423,107.9949188,33.052462571999996,54.85541916,70.00149536400001,87.31807444,2.825752974,1721.735107,-12.166032311999999,5.031101700000001,79.39144897,-5.891181469,84.51835632,0.549132943,1.130255699,3.277485132,0.440143675,-5.726871967,-123.126091,-0.607765794,11.3530283,17.96541214,-27.89480019,7.926625470000005,2.4744619454904786,2.820311198627503,-123.8325216245271,0.5204002720862204,NA,0,0,0,0,NA,NA,19.71796925255238,1,2,NA,NA,NA,NA,NA,NA,NA,NA
478,1,L,ball,FF,33,4,R,7,Bot,1,0,2,2,58,1,2,3.369999886,1.620000005,5.99051857,-1.37601006,137.6299744,30.042091368,54.50948334,69.36833954400001,90.97796729,2.091217041,1955.017944,-8.676504132,9.619852776,85.07529449,-5.622341156,91.50547791,0.461135983,1.287827492,2.614507198,0.40911749,-4.582248688,-132.8348083,-3.893948078,9.476510048,22.91126251,-22.03408432,5.902672799999991,2.2716188597390876,2.9445045096781532,-133.61033688211083,0.46326043827799257,NA,0,0,0,0,NA,NA,21.48891651720701,1,2,NA,NA,NA,NA,NA,NA,NA,NA
248,1,L,hit_into_play,CH,33,4,R,7,Bot,2,0,2,3,58,1,2,3.369999886,1.529999971,5.771271229,-1.076956391,110.8515167,31.27397346,54.72872925,69.52396774799999,83.40278405,3.522313595,1613.99353,-13.411401276,5.228144292,78.89181519,-7.164395809,84.21645355,1.006728768,0.442109585,2.073856354,0.442756623,-7.169135094,-122.6945724,-3.241993189,12.59194565,19.327425,-27.34596443,4.510968859999991,2.096083567834949,2.144399842917264,-123.43721642095034,0.625862667904992,field_out,1,1,1,NA,0,0,19.351794408114845,1,2,0.3333333333333333,1,0,0,0,0,1,0
534,1,R,swinging_strike,SL,21,5,R,8,Top,0,0,0,1,59,1,2,3.470000029,1.590000033,5.956896782,-1.522909284,162.7631531,-8.851454256,54.54310608,74.7206955,91.61001406,-0.207687244,2501.837646,-4.936271304,5.586747408,83.38905334,-6.825917244,89.00857544,-1.131198406,-0.133715093,2.437813282,0.420328945,0.616076708,-128.8224792,-4.286421299,4.587388515,19.08109665,-26.3960743,8.220960719999994,-0.16661146224730045,2.7644962540655387,-129.49365208542696,0.1702196996476099,NA,1,1,1,NA,1,1,27.309652461808607,2,1,NA,NA,NA,NA,NA,NA,NA,NA
445,1,R,hit_into_play,SI,21,5,R,8,Top,0,1,0,2,59,1,2,3.470000029,1.590000033,5.950937748,-1.965049148,202.7801056,-8.120932104,54.54906464,73.986917496,94.34368698,-2.327078104,2388.7146,9.43636536,8.388811116,87.44822693,-6.123978615,93.88436127,-0.55491817,0.696103513,2.48764658,0.398458272,5.241770744,-136.3581848,-5.38825798,-10.8811121,24.0041256,-22.52498436,6.895460049999997,-0.3973116415922494,3.069885445953982,-137.15665162604913,0.38056187742760383,single,1,1,1,NA,0,0,25.319283954912482,2,1,0,1,0,0,0,1,1,1
36,1,R,called_strike,SI,4,5,R,8,Top,0,0,0,1,60,1,2,3.630000114,1.690000057,5.99291563,-2.562334299,212.0397644,-8.129090304,54.50708771,74.30488014,95.21906544,-2.23560977,2195.035889,10.453038456,6.941681387999999,87.08622742,-7.040693283,93.53238678,-0.269366592,0.524095535,1.817303538,0.400276393,4.975497723,-135.9026031,-6.842845917,-11.8387146,24.70948982,-23.82344437,8.132838019999994,-0.5420686261305638,2.6367722399716476,-136.71961468667516,0.41346053773996405,NA,0,1,1,NA,NA,NA,23.052483017522885,2,1,NA,NA,NA,NA,NA,NA,NA,NA
381,1,R,ball,CU,4,5,R,8,Top,0,1,0,2,60,1,2,3.5199999809999998,1.690000057,5.862627983,-1.661971927,73.89950562,-8.045500512,54.63737488,73.850309376,81.70337841,-1.377309918,2570.724854,-12.811929708,1.111957488,75.74783325,-9.155133247,80.63986969,-3.785661697,1.676751971,1.251820326,0.463168114,3.175037861,-117.5369873,-4.509197235,9.4991741180000009,18.90895653,-30.75732231,5.95554516,1.241444872465549,1.4873761278252755,-118.28067938309344,0.3336013976604348,NA,0,0,0,0,NA,NA,31.46411940397019,2,1,NA,NA,NA,NA,NA,NA,NA,NA
463,1,R,foul,CU,4,5,R,8,Top,1,1,0,3,60,1,2,3.319999933,1.50999999,6.075750351,-0.402531952,87.0290451,-5.958274488,54.42425156,74.809833528,83.35072908,0.230465502,2551.094971,-17.075006964,2.2867224840000002,76.82341003,-7.436348915,82.41954041,-2.979218483,0.713136673,2.723101139,0.454923004,-0.006545911,-119.5368118,-1.886009812,13.8271656,18.93606377,-30.19939995,6.5273190499999885,0.9978560467158473,2.4812929941644177,-120.23562334967264,0.5236630891192607,NA,1,1,1,NA,0,0,30.606750524659,2,1,NA,NA,NA,NA,NA,NA,NA,NA
119,1,R,ball,SL,4,5,R,8,Top,1,2,0,4,60,1,2,3.4800000190000002,1.639999986,5.722299576,-1.805507421,152.6345215,-8.007238632,54.77770233,75.26269912800001,88.8461314,0.241079643,2574.988281,-3.9533765279999997,2.67380262,82.82933807,-7.711555004,88.37156677,-0.502804399,-0.562394321,1.953897238,0.421576083,-0.424369603,-129.0145721,-5.014964104,3.800638199,22.16285133,-28.96766663,6.016793329999999,-0.4123478763877789,2.3382446475344203,-129.83271830528267,0.09898689699698729,NA,0,0,1,NA,NA,NA,28.98255940269336,2,1,NA,NA,NA,NA,NA,NA,NA,NA
170,1,R,foul,SL,4,5,R,8,Top,2,2,0,5,60,1,2,3.319999933,1.50999999,5.931263924,-1.076042414,163.4477081,-6.6942429599999995,54.56873703,75.839120868,89.51681463,-0.012074505,2551.181396,-4.998843312,3.684905652,82.62494659,-6.836882591,88.35424042,-0.949481249,-0.130108505,2.747084141,0.423242748,0.176651344,-128.1613617,-3.332099676,4.646689415,20.08998871,-28.36824608,6.891868040000006,-0.07880234292734212,2.853819161397232,-128.87554595488564,0.1361136022057703,NA,1,1,1,NA,0,0,28.499465788017616,2,1,NA,NA,NA,NA,NA,NA,NA,NA
472,1,R,hit_into_play,SL,4,5,R,8,Top,2,2,0,6,60,1,2,3.319999933,1.50999999,5.924415112,-2.002928019,167.3585663,-8.002824780000001,54.57558823,75.31586265600001,92.37192192,-0.406771719,2527.658447,-7.28146362,6.0865588200000005,84.23220825,-7.043409348,90.35734558,-1.777264833,0.317247361,2.169693947,0.413827688,1.1558007,-131.4996033,-5.422003269,6.920217991,23.40178108,-25.43113136,8.139713670000006,0.22810450620511075,2.7108092433438253,-132.31137267741286,0.23567729790159944,field_out,1,1,1,NA,0,0,27.363926120202564,2,1,0.3333333333333333,1,0,0,0,0,1,0
23,1,R,ball,SL,13,5,L,8,Top,0,0,1,1,61,1,2,3.180000067,1.529999971,5.94822979,-2.031458378,237.6674957,-8.47220922,54.55177307,73.394863128,85.6536803,-0.43253684,1601.146606,0.036235464,4.526036376,80.56163788,-7.964181423,86.21893311,-0.425710946,-0.307908446,1.580564499,0.433871865,0.944986641,-125.3148575,-5.371864319,-0.188418314,20.70199203,-27.43169022,5.0920424199999985,-0.4917330988108421,2.0813462331859536,-126.06456651837156,0.11639862921462003,NA,0,0,1,NA,NA,NA,18.69326105302214,2,1,NA,NA,NA,NA,NA,NA,NA,NA
531,1,R,ball,CU,13,5,L,8,Top,1,0,1,2,61,1,2,3.1900000570000002,1.529999971,5.819820881,0.536009073,73.88890839,-8.174239392,54.6801796,73.833211896,81.24942028,2.150442839,2476.036621,-18.0097332,-0.23823584399999997,74.02667236,-7.540799618,79.15276337,-1.237933159,-1.180634975,3.055308819,0.471496373,-3.849875927,-115.3722687,-0.075784348,14.17077351,17.81685638,-32.52251434,7.222747919999989,-0.05558692872678339,2.31937917576127,-116.09277558649718,0.5725747235070532,NA,0,0,0,0,NA,NA,30.474514309974598,2,1,NA,NA,NA,NA,NA,NA,NA,NA
160,1,R,called_strike,CU,13,5,L,8,Top,3,0,1,4,61,1,2,3.279999971,1.529999971,5.665228367,-0.444955528,86.08675385,-10.852001664,54.83477402,74.21007728400001,81.00668685,0.724224806,2445.332275,-11.28194118,-2.371183452,75.11160278,-8.707608223,79.91506195,-1.40049243,-0.639579535,2.083180428,0.465716273,-1.17167604,-116.883728,-2.107035637,8.905119896,18.63794708,-33.85102081,5.895084069999996,-0.1932676948409262,1.7282172710451036,-117.65214110613314,0.31846454688411574,NA,0,1,1,NA,NA,NA,30.186795313922907,2,1,NA,NA,NA,NA,NA,NA,NA,NA
510,1,R,hit_into_play,SL,13,5,L,8,Top,3,1,1,5,61,1,2,3.369999886,1.529999971,5.848265648,-1.974728107,162.8301239,-7.774558068,54.65173721,74.98765182,89.48381276,0.073537968,2534.614746,-6.713053464000001,5.1867249,84.81196594,-7.118275166,90.61831665,-1.186989069,-0.156836003,2.114596367,0.412046254,0.03700735,-131.7837982,-5.391020298,6.618105412,22.00407982,-26.32401276,4.671846820000013,-0.04778436987126461,2.6313580282293447,-132.55822771893116,0.2064628621543867,field_out,1,1,1,NA,0,0,28.324840748549256,2,1,0.3333333333333333,1,0,0,0,0,1,0
