safe,dist_from_base,sprint_speed,arm_of
1,301.3828545222837,26.4,92.5
1,346.57892769901633,27.2,90.5
1,290.9213349429705,26.5,86.3
1,360.34036861001294,26.6,90.5
1,332.91266215780985,26.3,93
1,337.96053208917755,26.3,89.3
1,354.7421819082135,28.1,85.8
0,231.35592168777532,28.5,86.1
1,179.47730532019924,28.7,81.9
1,295.59649545453004,26.1,90.2
1,346.0353820420681,28.1,88.5
1,321.22408163928185,27.2,81.3
1,350.72798576674774,26.9,86.2
1,380.00709286143604,25.7,82.2
1,268.9593324277855,28.4,80.7
1,347.65686117923804,27.6,82.9
1,328.4991095878343,29.3,79.9
1,323.1923276085,27,84.2
1,318.34671056098574,27.1,85.1
1,318.2558031678292,27.9,85.3
1,300.4557090903749,26.8,80.7
1,306.31533792809006,24.3,83.4
1,307.8550318331666,27.2,84.2
1,350.51261122105154,27.5,81.3
1,310.41002722206,30.6,87.6
1,332.27346606372294,25.1,89.2
1,350.6929604369042,28.9,85.7
1,363.55152489021424,27.1,87.1
1,332.347402013315,28.2,93
1,310.02491835334786,26.4,90.8
1,314.5432740498515,27.1,83.2
1,369.5760578013679,26.8,86.3
1,319.83636441155346,27.1,90.3
1,362.4400338331846,26,91.1
1,334.5244918163691,26.2,84.2
1,358.9533160802391,27.9,86
1,306.1676828144996,29.2,87.8
1,359.6378734226972,26.4,81.5
1,321.5341360182461,27.3,82.2
1,311.23163098406314,25.4,88.8
1,323.8346269703103,27.7,81.5
1,383.9932136444602,26.9,88.9
1,325.68432760880586,25.4,90.8
1,349.331264704435,26.9,84.2
1,314.30600137445674,25.6,88.7
1,319.89435951576263,25.7,82.9
1,353.72022931265894,27.6,86.3
1,340.4206607272832,28.3,86
1,301.7463545761573,28.2,93.8
1,297.0873114506913,25.8,86.5
1,359.1611929203934,25.1,85.9
1,332.01348052451124,27.2,87.6
1,330.3459446171544,28.7,80.7
1,349.0144069375933,25.7,90.9
1,376.92341562975366,27.7,89.3
1,325.3706444195604,27.8,92.4
1,323.697819153914,26.9,87.1
1,337.5601464924436,27.7,89.3
1,313.08261789023044,27.4,86.3
1,314.5999066274497,27.4,85.7
1,320.0507625752515,27.5,82.3
1,316.411789642864,25.5,80.7
1,334.8727407538571,26.6,86.3
1,286.88314803243503,27.3,85.2
1,381.00662231777545,27.5,81.4
1,312.1020716448387,26.7,84.8
1,362.49494651649974,26.1,89.2
1,318.6667744290265,26.8,85.3
1,339.39993462727716,26.9,90.8
1,357.5815230475423,23,89.2
1,335.5576142780849,29.1,88.7
1,366.0773287503612,27,88.5
1,327.6251144601097,28.9,82.5
1,338.75038837616114,28.3,89.1
1,332.45135922417285,27.5,89.4
1,334.0466144492412,27.6,85.4
1,372.07987213769036,24.1,84.8
1,356.9819340666976,27.6,89.2
1,318.0796283951552,27.4,87.1
0,271.62589162301896,24.3,82.9
1,329.7279655261288,25.7,84.2
1,287.305040418716,27.2,83.7
1,343.9083680648088,27.1,85.4
1,351.3363461485304,28.2,87.6
1,323.76621387970675,27.8,83.1
1,306.7565046172616,26.6,94.9
1,355.70001142114126,26.6,81.3
1,363.86123127505635,28.2,90.3
1,316.01193509897695,28.5,81.3
1,329.4248064809327,28.8,83.1
1,317.7408102526335,24,87.6
1,324.1369627564867,26.3,87.1
1,314.6575956496204,26.3,87.1
1,287.6639977908254,27.9,81.3
1,349.5120044433381,28.2,83.7
1,317.4831540806536,28.7,90.3
1,363.81313970910946,25,88.8
1,307.40596224699357,26,83.3
1,340.39141532212585,28.3,84.8
1,281,25.3,84.2
1,314,25.6,89.5
1,294,27,82.5
1,297,28.6,84.5
1,339,26.3,86.5
1,304,25.6,90.3
1,308,26.5,87.5
1,295,26.4,91.6
1,358,28.2,86.2
1,292,27.4,90.5
1,295,28.1,78.7
1,364,29.3,86.2
1,310,28.4,94.9
1,304,28,82.9
1,320,26.7,87.8
1,357,27.2,89.3
1,331,28,83.9
1,305,28.1,82.4
1,330,27.5,86.5
1,356,27.2,86.1
1,331,27.4,90.5
1,303,26.9,86
1,299,27.3,82.9
1,326,29.1,83.4
1,312,27.9,94.9
1,266,27.3,84
1,334,28.2,86.1
1,287,28.4,84.9
1,219,27.9,93
1,320,28.3,79.9
1,233,27.3,91.1
1,289,28.6,84.8
1,284,29.9,74.1
1,320,26.3,80.7
1,368,26.4,89.5
1,353,28,85.5
1,316,24.7,83.6
1,297,28.1,89.5
1,312,22.1,82.6
1,299,28.4,78.7
1,297,27.3,78.7
1,373,28,91.1
1,339,28.4,90.9
1,314,26.8,92.4
1,367,27,85.5
1,287,27.1,84.1
1,301,27.2,90.9
1,334,27.5,93
1,302,25.3,81.5
1,386,26.7,86
1,302,26.8,89.4
1,332,25.6,89.2
1,290,28,85.5
1,343,27.3,90.3
1,310,26.9,79.4
1,276,25.1,93
1,338,27.1,91.6
1,343,28.4,85.9
1,304,29.4,80.7
1,328,27.6,80.1
1,345,27.4,83.1
1,354,28.8,90.3
1,317,26,86.6
1,317,26.8,89.4
1,327,27,89.7
1,340,27.1,82.4
1,334,26,82.9
1,273,26,86.5
1,319,27.3,86.1
1,337,28.2,88.7
1,354,28.1,94.9
1,361,26.9,83.1
1,336,27.7,84.2
1,380,27,86.2
1,342,26.4,90.5
1,342,26.3,92.4
1,319,23.6,89.5
1,283,27.6,86.2
1,323,29.4,86.6
1,324,28.4,92.4
1,308,25.3,89.5
1,314,29.4,75.2
1,344,28.1,87.6
1,329,26,84.7
1,363,27,86
1,248,29.1,85.3
1,296,24.9,84.5
1,281,27.5,91.1
1,276,24.9,86.1
1,274,27.4,84.2
1,311,25.6,84.7
1,338,26.3,89.1
1,371,29.3,79.9
1,309,29.3,84.9
1,248,28.3,82.2
